Self-Awareness,Cognitive Abilities,Moral Implications,Label
0.3745401188473625,0.0516817211686077,0.16893506307216455,Unethical
0.9507143064099162,0.531354631568148,0.2785903390319586,Ethical
0.7319939418114051,0.5406351216101065,0.17701048427674682,Unethical
0.5986584841970366,0.6374299014982066,0.08870253375705561,Unethical
0.15601864044243652,0.7260913337226615,0.12063587110060081,Unethical
0.15599452033620265,0.9758520794625346,0.46077876803272577,Ethical
0.05808361216819946,0.5163003483011953,0.2063337184057925,Unethical
0.8661761457749352,0.32295647294124596,0.36426986104807546,Ethical
0.6011150117432088,0.7951861947687037,0.5034172708548569,Ethical
0.7080725777960455,0.2708322512620742,0.6903948286293653,Ethical
0.020584494295802447,0.4389714207056361,0.039312139841098936,Unethical
0.9699098521619943,0.07845638134226596,0.7994103989090426,Ethical
0.8324426408004217,0.02535074341545751,0.6279003894909078,Unethical
0.21233911067827616,0.9626484146779251,0.08175903194887191,Unethical
0.18182496720710062,0.8359801205122058,0.8735786241067772,Ethical
0.18340450985343382,0.695974206093698,0.9208724005318132,Ethical
0.3042422429595377,0.4089529444142699,0.06107795985486375,Unethical
0.5247564316322378,0.17329432007084578,0.2768776481472037,Unethical
0.43194501864211576,0.15643704267108605,0.8062012797930613,Unethical
0.2912291401980419,0.25024289816459533,0.7482596903836584,Unethical
0.6118528947223795,0.5492266647061205,0.18452101935637732,Unethical
0.13949386065204183,0.7145959227000623,0.2093493233367103,Unethical
0.29214464853521815,0.6601973767177313,0.370472102791382,Unethical
0.3663618432936917,0.27993389694594284,0.4845229851910213,Unethical
0.45606998421703593,0.9548652806631941,0.618254771530296,Ethical
0.7851759613930136,0.7378969166957685,0.3689136395697724,Ethical
0.19967378215835974,0.5543540525114007,0.4625347161331479,Unethical
0.5142344384136116,0.6117207462343522,0.7474709381337565,Ethical
0.5924145688620425,0.4196000624277899,0.0366832028905979,Unethical
0.046450412719997725,0.24773098950115746,0.25243694434402075,Unethical
0.6075448519014384,0.3559726786512616,0.7133495858845524,Ethical
0.17052412368729153,0.7578461104643691,0.8952068376871993,Ethical
0.06505159298527952,0.014393488629755868,0.5116774421156661,Unethical
0.9488855372533332,0.11607264050691624,0.5321134852653157,Ethical
0.9656320330745594,0.04600264202175275,0.10717201133977605,Unethical
0.8083973481164611,0.040728802318970136,0.44741236682345464,Unethical
0.3046137691733707,0.8554605840110072,0.5326172664550232,Ethical
0.09767211400638387,0.7036578593800237,0.24247050363472966,Unethical
0.6842330265121569,0.4741738290873252,0.26924323094938096,Unethical
0.4401524937396013,0.09783416065100148,0.37728416310462265,Unethical
0.12203823484477883,0.49161587511683236,0.02007119777772637,Unethical
0.4951769101112702,0.4734717707805657,0.3220791655831783,Unethical
0.034388521115218396,0.17320186991001518,0.21144800699654465,Unethical
0.9093204020787821,0.43385164923797304,0.32749735217791465,Ethical
0.2587799816000169,0.39850473439737344,0.11976213181925122,Unethical
0.662522284353982,0.6158500980522165,0.890527280739895,Ethical
0.31171107608941095,0.6350936508676438,0.5935924535540487,Ethical
0.5200680211778108,0.04530400977204452,0.6791023191444896,Unethical
